sci_name,com_name,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et
Acanthisitta chloris,Rifleman,Aves,Grünstummelschwanz,Acantisita Verdoso,barglik,Xénique grimpeur,Geweervogel,Зелёный стрелок,ミドリイワサザイ,pokřovník zelený,acantisita bec d'alena,rifleman,skogklatresmett,Зелено новозеландско орехче,klättersmyg,Klatresmutte,Nişancı,striežik zelenkavý,Carić puškar,Стрілець,刺鹩,metsävilistäjä,Acantisita verdoso,Acantisita Verdoso,Acantisita Verdoso,Rifleman,šumski palčac,Žalioji pita,تفنگچی (پرنده),Reifflwr,õõne-nürisaba
Acanthiza apicalis,Inland Thornbill,Aves,Stelzschwanz-Dornschnabel,Acantiza Apical,buszówka szerokosterna,Acanthize troglodyte,Roodstuitdoornsnavel,Пестрогрудая шипоклювка,ヒロオトゲハシムシクイ,střízlíkovec australský,acantiza caragolet,inland thornbill,krattornsmett,Пъстрогуш шипоклюн певец,inlandstaggnäbb,Bredhalet Mejsesanger,Al Gözlü Dikengaga,ostrozobka hnedochvostá,Australijska trnokljunka,Шиподзьоб широкохвостий,宽尾刺嘴莺,vipeväotsamaluri,Acantiza apical,Acantiza Apical,Acantiza Apical,Inland thornbill,pjegavočela trnokljunka,Plačiauodegis spygliasnapis,نوکخاری دمپهن,Dreinbig y canoldir,mallee-sirilind
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Aves,Gelbbürzel-Dornschnabel,Acantiza Culigualda,buszówka żółtorzytna,Acanthize à croupion jaune,Geelstuitdoornsnavel,Желтопоясничная шипоклювка,コモントゲハシムシクイ,střízlíkovec žlutokostřecový,acantiza de carpó groc,yellow-rumped thornbill,gulgumptornsmett,Жълтокръст шипоклюн певец,gulgumpad taggnäbb,Gulgumpet Mejsesanger,Sarı Belli Dikengaga,ostrozobka lúčna,Žutoleđa trnokljunka,Шиподзьоб жовтогузий,黄尾刺嘴莺,keltaperämaluri,Acantiza culigualda,Acantiza Culigualda,Acantiza Culigualda,Yellow-rumped thornbill,biserastočela trnokljunka,Geltonsturplis spygliasnapis,نوکخاری دمگاهزرد,Dreinbig tinfelyn,täpiklaup-sirilind
Acanthiza cinerea,Gray Thornbill,Aves,Weißbürzel-Dornschnabel,Acantiza Gris,buszówka szara,Acanthize gris,Grijze doornsnavel,Белопоясничная геригона,ハイイロセンニョムシクイ,střízlíkovec šedý,acantiza argentada,gray thornbill,gråtornsmett,Сив шипоклюн певец,grå taggnäbb,Grå Mejsesanger,Gri Dikengaga,ostrozobka sivá,Siva trnokljunka,Ріроріро новогвінейський,新几内亚噪刺莺,harmaakeijumaluri,Acantiza gris,Acantiza Gris,Acantiza Gris,Gray thornbill,sivo-bijela trnokljunka,Kalninė gerigona,خوشنوای خاکستری,Caniedydd llwyd,hall-sirilind
Acanthiza ewingii,Tasmanian Thornbill,Aves,Tasmandornschnabel,Acantiza de Tasmania,buszówka rdzawoczelna,Acanthize de Tasmanie,Tasmaanse doornsnavel,Тасманийская шипоклювка,タスマニアトゲハシムシクイ,střízlíkovec jižní,acantiza de Tasmània,tasmanian thornbill,tasmantornsmett,Тасманийски шипоклюн певец,tasmantaggnäbb,Tasmansk Mejsesanger,Tasmanya Dikengagası,ostrozobka tasmánska,Tasmanijska trnokljunka,Шиподзьоб тасманійський,塔岛刺嘴莺,tasmaniantiaismaluri,Acantiza de Tasmania,Acantiza de Tasmania,Acantiza de Tasmania,Tasmanian thornbill,pjegavogrla trnokljunka,Tasmaninis spygliasnapis,نوکخاری تاسمانی,Dreinbig Tasmania,kiripugu-sirilind
Acanthiza inornata,Western Thornbill,Aves,Walddornschnabel,Acantiza Sencilla,buszówka uboga,Acanthize sobre,Kaap-Leeuwindoornsnavel,Лесная шипоклювка,ニシトゲハシムシクイ,střízlíkovec západoaustralský,acantiza occidental,western thornbill,vesttornsmett,Западен шипоклюн певец,västlig taggnäbb,Vestlig Mejsesanger,Batılı Boz Dikengaga,ostrozobka plavá,Zapadna trnokljunka,Шиподзьоб лісовий,西刺嘴莺,matkijatiaismaluri,Acantiza sencilla,Acantiza Sencilla,Acantiza Sencilla,Western thornbill,ljuskastoglava trnokljunka,Vakarinis spygliasnapis,نوکخاری غربی,Dreinbig y Gorllewin,lääne-sirilind
Acanthiza iredalei,Slender-billed Thornbill,Aves,Grunddornschnabel,Acantiza de Iredale,buszówka mała,Acanthize d'Iredale,Mulgadoornsnavel,Тонкоклювая шипоклювка,キゴシトゲハシムシクイ,střízlíkovec jihoaustralský,acantiza d'Iredale,slender-billed thornbill,alvetornsmett,Пъстрочел шипоклюн певец,nullarbortaggnäbb,Tyndnæbbet Mejsesanger,Boz Dikengaga,ostrozobka štíhlozobá,Tankokljuna trnokljunka,Шиподзьоб карликовий,细嘴刺嘴莺,pikkutiaismaluri,Acantiza de Iredale,Acantiza de Iredale,Acantiza de Iredale,Slender-billed thornbill,ljuskastočela trnokljunka,Plonasnapis spygliasnapis,نوکخاری نوکباریک,Dreinbig sampier,maltsa-sirilind
Acanthiza katherina,Mountain Thornbill,Aves,Bergdornschnabel,Acantiza Montana,buszówka jasnooka,Acanthize des montagnes,Athertondoornsnavel,Горная шипоклювка,ヤマトゲハシムシクイ,střízlíkovec queenslandský,acantiza muntanyenca,mountain thornbill,bergtornsmett,Куинслендски шипоклюн певец,höglandstaggnäbb,Bjergmejsesanger,Dağ Dikengagası,ostrozobka džungľová,Planinska trnokljunka,Шиподзьоб квінслендський,山刺嘴莺,vuoritiaismaluri,Acantiza montana,Acantiza Montana,Acantiza Montana,Mountain thornbill,gorska trnokljunka,Kalninis spygliasnapis,نوکخاری کوهی,Dreinbig mynydd,queenslandi sirilind
Acanthiza lineata,Striated Thornbill,Aves,Stricheldornschnabel,Acantiza Estriada,buszówka kreskowana,Acanthize ridé,Twijgdoornsnavel,Пёстрая шилоклювка,ムナフトゲハシムシクイ,střízlíkovec blahovičníkový,acantiza pintada,striated thornbill,stripetornsmett,Ивичест шипоклюн певец,strimmig taggnäbb,Stribet Mejsesanger,Çizgili Dikengaga,ostrozobka čiarková,Prugasta trnokljunka,Шиподзьоб смугастоволий,纵纹刺嘴莺,ruskopäämaluri,Acantiza estriada,Acantiza Estriada,Acantiza Estriada,Striated thornbill,prugastoglava trnokljunka,Dryžasis spygliasnapis,نوکخاری نواری,Dreinbig rhesog,triip-sirilind
Acanthiza murina,Papuan Thornbill,Aves,Papuadornschnabel,Acantiza Papú,buszówka mysia,Acanthize de Nouvelle-Guinée,Papoeadoornsnavel,Новогвинейская шипоклювка,パプアトゲハシムシクイ,střízlíkovec novoguinejský,acantiza de Nova Guinea,papuan thornbill,papuatornsmett,Папуаски шипоклюн певец,papuataggnäbb,Papua Mejsesanger,Papua Dikengagası,ostrozobka bledooká,Papuanska trnokljunka,Шиподзьоб новогвінейський,巴布亚刺嘴莺,papuantiaismaluri,Acantiza papú,Acantiza Papú,Acantiza Papú,Papuan thornbill,pjegavolica trnokljunka,Papuasinis spygliasnapis,نوکخاری گینه نو,Dreinbig De Vis,mägi-sirilind
Acanthiza nana,Yellow Thornbill,Aves,Gelbbauch-Dornschnabel,Acantiza Enana,buszówka żółtobrzucha,Acanthize nain,Gele doornsnavel,Жёлтая шипоклювка,ヒメトゲハシムシクイ,střízlíkovec žlutý,acantiza daurada,yellow thornbill,gultornsmett,Жълт шипоклюн певец,gul taggnäbb,Gulbuget Mejsesanger,Sarı Dikengaga,ostrozobka žltobruchá,Žuta trnokljunka,Шиподзьоб малий,小刺嘴莺,keltavatsamaluri,Acantiza enana,Acantiza Enana,Acantiza Enana,Yellow thornbill,žuta trnokljunka,Geltonasis spygliasnapis,نوکخاری زرد,Dreinbig melyn,kold-sirilind
Acanthiza pusilla,Brown Thornbill,Aves,Roststirn-Dornschnabel,Acantiza Parda,buszówka brązowa,Acanthize mignon,Bruine doornsnavel,Малая шипоклювка,チャイロトゲハシムシクイ,střízlíkovec rudooký,acantiza frontvermella,brown thornbill,bruntornsmett,Кафяв шипоклюн певец,rostpannad taggnäbb,Brun Mejsesanger,Kahverengi Dikengaga,ostrozobka hrdzavočelá,Smeđa trnokljunka,Шиподзьоб бурий,褐刺嘴莺,kaneliperämaluri,Acantiza parda,Acantiza Parda,Acantiza Parda,Brown thornbill,riđočela trnokljunka,Rudasis spygliasnapis,نوکخاری قهوهای,Dreinbig gwinau,ruskelaup-sirilind
Acanthiza reguloides,Buff-rumped Thornbill,Aves,Goldhähnchen-Dornschnabel,Acantiza Reguloide,buszówka zmienna,Acanthize à croupion beige,Vaalstuitdoornsnavel,Корольковая шипоклювка,ウグイストゲハシムシクイ,střízlíkovec východoaustralský,acantiza reguloide,buff-rumped thornbill,okergumptornsmett,Оранжевокръст шипоклюн певец,ockragumpad taggnäbb,Brungumpet Mejsesanger,Keten Belli Dikengaga,ostrozobka kôrarská,Žutotrba trnokljunka,Шиподзьоб золотомушковий,棕尾刺嘴莺,ruso-otsamaluri,Acantiza reguloide,Acantiza Reguloide,Acantiza Reguloide,Buff-rumped thornbill,maslinastokapa trnokljunka,Nykštukinis spygliasnapis,نوکخاری کفلکاهی,Dreinbig rhisgl,eukalüpti-sirilind
Acanthiza robustirostris,Slaty-backed Thornbill,Aves,Graurücken-Dornschnabel,Acantiza Pizarrosa,buszówka śniada,Acanthize ardoisé,Grijsrugdoornsnavel,Сероспинная шипоклювка,ハイイロトゲハシムシクイ,střízlíkovec šedohřbetý,acantiza pissarrosa,slaty-backed thornbill,mulgatornsmett,Ръждивокръст шипоклюн певец,gråryggig taggnäbb,Grårygget Mejsesanger,Gri Sırtlı Dikengaga,ostrozobka popolavá,Sivoleđa trnokljunka,Шиподзьоб сіроспинний,蓝灰刺嘴莺,valkovatsamaluri,Acantiza pizarrosa,Acantiza Pizarrosa,Acantiza Pizarrosa,Slaty-backed thornbill,olovastokrila trnokljunka,Pilkanugaris spygliasnapis,نوکخاری پشتکبود,Dreinbig pigdew,mulga-sirilind
Acanthiza uropygialis,Chestnut-rumped Thornbill,Aves,Braunbürzel-Dornschnabel,Acantiza Culirroja,buszówka rudorzytna,Acanthize à croupion roux,Roodstaartdoornsnavel,Рыжепоясничная шипоклювка,コシアカトゲハシムシクイ,střízlíkovec světlebřichý,acantiza de carpó rogenc,chestnut-rumped thornbill,kastanjegumptornsmett,Кестенявокръст шипоклюн певец,rödgumpad taggnäbb,Rødgumpet Mejsesanger,Kestane Belli Dikengaga,ostrozobka bútľavinová,Kestenjastoleđa trnokljunka,Шиподзьоб рудогузий,栗尾刺嘴莺,pähkinäperämaluri,Acantiza culirroja,Acantiza Culirroja,Acantiza Culirroja,Chestnut-rumped thornbill,crnorepa trnokljunka,Rudasturplis spygliasnapis,نوکخاری کفلبلوطی,Dreinbig tinwinau,õõne-sirilind
Acanthorhynchus superciliosus,Western Spinebill,Aves,Buntkopf-Honigfresser,Picoespina Occidental,miodopijek rdzawoszyi,Méliphage festonné,Roesthalshoningeter,Западная титиара,ニシキリハシミツスイ,jehlozobka západní,bec d'espina occidental,western spinebill,trikolorhonningeter,Червеноврат медояд,rosthalsad honungsfågel,Vestlig Seglnæb,Hercai Kılgaga,peliar hrdzavokrký,Zapadni tankokljuni medojed,Медолюб-шилодзьоб західний,西尖嘴吸蜜鸟,vyömesikko,Picoespina occidental,Picoespina Occidental,Picoespina Occidental,Western spinebill,tankokljuni medojed,Western Spinebill,خارنوک غربی,Melysor pigfain y Gorllewin,vöö-meelind
Acanthorhynchus tenuirostris,Eastern Spinebill,Aves,Rotnacken-Honigfresser,Picoespina Oriental,miodopijek długodzioby,Méliphage à bec grêle,Zwarthalshoningeter,Восточная титиара,キリハシミツスイ,jehlozobka východní,bec d'espina oriental,eastern spinebill,prydhonningeter,Кафявогуш медояд,rostnackad honungsfågel,Østlig Seglnæb,Kızıl Enseli Kılgaga,peliar tenkozobý,Istočni tankokljuni medojed,Медолюб-шилодзьоб східний,东尖嘴吸蜜鸟,naskalivyömesikko,Picoespina oriental,Picoespina Oriental,Picoespina Oriental,Eastern spinebill,iglokljuni medojed,Eastern Spinebill,خارنوک شرقی,Melysor pigfain y Dwyrain,manisk-meelind
Acanthornis magna,Scrubtit,Aves,Stammhuscher,Sedosito Tasmano,tasmanówka,Séricorne de Tasmanie,Kleine Tasmaanse struiksluiper,Синицевый шипоклюв,メジロヤブムシクイ,střízlíkovec sýkorovitý,espineta de Tasmània,scrubtit,klatrekrattsmett,Сивоушка,snårsmyg,Buskmejse,Ak Gözlü Akantiz,papradníček krovinový,Senicoliki šibljački carić,Кущовик острівний,灌丛丝刺莺,tasmaniansilkkimaluri,Sedosito tasmano,Sedosito Tasmano,Sedosito Tasmano,Scrubtit,srebrnastolica trnokljunka,Tasmaninis serikornis,چرخریسک بوتهای,Dryw prysgoed clustlwyd,oru-sirilind
Acanthoventris drewseni,Acanthoventris drewseni,Insecta,Acanthoventris drewseni,Chicharra Verde Común,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni
Tachyspiza albogularis,Pied Goshawk,Aves,Elsterhabicht,Gavilán Pío,krogulec białobrzuchy,Autour pie,Bonte havik,Сорочий ястреб,ノドジロオオタカ,jestřáb šalomounský,astor emmantellat,pied goshawk,salomonhauk,Соломонов голям ястреб,skathök,Hvidstrubet Duehøg,Alaca Çakır,jastrab bielohrdlý,Crno-beli jastreb,Яструб строкатий,鹊色鹰,salomoninhaukka,Gavilán pío,Gavilán Pío,Gavilán Pío,Pied goshawk,solomonski jastreb,Keršasis vištvanagis,Pied Goshawk,Pied Goshawk,saalomonisaarte raudkull
Astur atricapillus,American Goshawk,Aves,Amerikanischer Habicht,Azor Norteamericano,jastrząb czerwonooki,Autour d'Amérique,Amerikaanse havik,Американский тетеревятник,アメリカオオタカ,jestřáb nearktický,astor americà,american goshawk,kråkehauk,Американски голям ястреб,amerikansk duvhök,Amerikansk Duehøg,Amerika Çakırı,jastrab indiánsky,Američki jastreb,American Goshawk,美洲苍鹰,amerikankanahaukka,Azor norteamericano,Gavilán Azor Americano,Azor Norteamericano,American goshawk,američki jastreb,American Goshawk,American Goshawk,American Goshawk,ameerika kanakull
Astur gentilis,Eurasian Goshawk,Aves,Habicht,Azor Euroasiático,jastrząb,Autour des palombes,Havik,Тетеревятник,オオタカ,jestřáb lesní,astor comú,açor,hønsehauk,Голям ястреб,duvhök,Duehøg,Çakır,jastrab veľký,Jastreb,Яструб великий,苍鹰,kanahaukka,Azor euroasiático,Gavilán Azor Euroasiático,Azor Euroasiático,Açor,jastreb,Vištvanagis,طرلان (شهباز)‌ اوراسیایی,Eurasian Goshawk,kanakull
Tachyspiza badia,Shikra,Aves,Schikrasperber,Gavilán Chikra,krogulec mały,Épervier shikra,Shikra,Тювик,タカサゴダカ,krahujec šikra,esparver xikra,gavião-chicra,shikrahauk,Шикра,shikra,Shikra,Şikra,jastrab šikra,Kobac šikra,Яструб туркестанський,褐耳鹰,arovarpushaukka,Gavilán chikra,Gavilán Chikra,Gavilán Chikra,Gavião-chicra,šikra,Šikra,پیغوی کوچک,Shikra,šikra-raudkull (hele-raudkull)
Astur bicolor,Bicolored Hawk,Aves,Zweifarbhabicht,Gavilán Bicolor,krogulec dwubarwny,Épervier bicolore,Roodbroeksperwer,Двуцветный ястреб,モモアカハイタカ,jestřáb neotropický,astor bicolor,gavião-bombachinha-grande,rødbuksehauk,Двуцветен ястреб,tvåfärgad duvhök,Trefarvet Spurvehøg,İki Renkli Atmaca,jastrab dvojfarebný,Dvobojni kobac,Яструб неотропічний,双色鹰,ruostehousuhaukka,Gavilán bicolor,Gavilán Bicolor,Azor Bicolor,Gavião-bombachinha-grande,južnoamerički kobac,Dvispalvis vanagas,Bicolored Hawk,Bicolored Hawk,väike-tanukull
Tachyspiza brevipes,Levant Sparrowhawk,Aves,Kurzfangsperber,Gavilán Griego,krogulec krótkonogi,Épervier à pieds courts,Balkansperwer,Европейский тювик,レバントハイタカ,krahujec krátkoprstý,esparver grec,gavião-do-levante,balkanhauk,Късопръст ястреб,balkanhök,Balkanhøg,Yaz Atmacası,jastrab krátkoprstý,Kratkoprsti kobac,Яструб коротконогий,东方雀鹰,sirovarpushaukka,Gavilán griego,Gavilán Griego,Gavilán Griego,Gavião-do-levante,kratkoprsti kobac,Trumpapirštis vanagas,پیغوی بزرگ,Levant Sparrowhawk,stepi-raudkull
Astur chilensis,Chilean Hawk,Aves,Chilehabicht,Gavilán Chileno,krogulec chilijski,Épervier du Chili,Chileense sperwer,Чилийский ястреб,チリーハイタカ,jestřáb chilský,astor de Xile,chilean hawk,chilehauk,Чилийски ястреб,chileduvhök,Chilensk Spurvehøg,Şili Atmacası,jastrab čilský,Čileanski kobac,Яструб чилійський,智利鹰,Chilean Hawk,Gavilán chileno,Gavilán Chileno,Peuquito,Chilean hawk,čilski kobac,Čilinis vanagas,Chilean Hawk,Chilean Hawk,tšiili tanukull
Accipiter chionogaster,White-breasted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachyspiza cirrocephala,Collared Sparrowhawk,Aves,Halsringsperber,Gavilán Acollarado,krogulec obrożny,Épervier à collier roux,Grijskopsperwer,Ошейниковый перепелятник,アカエリツミ,krahujec rudolímcový,esparver australià,collared sparrowhawk,eukalyptushauk,Австралийски малък ястреб,kraghök,Australsk Spurvehøg,Sidney Atmacası,jastrab goliernatý,Australijski riđovrati kobac,Яструб австралійський,领雀鹰,ruosteniskahaukka,Gavilán acollarado,Gavilán Acollarado,Gavilán Acollarado,Collared sparrowhawk,ogrličasti kobac,Apykaklėtasis vanagas,Collared Sparrowhawk,Collared Sparrowhawk,kaelus-raudkull
Microspizias collaris,Semicollared Hawk,Aves,Halsbandsperber,Gavilancito Torcaz,krogulec kryzowany,Épervier à collier interrompu,Kraagsperwer,Белогорлый ястреб-крошка,ナンベイアカエリツミ,krahulík andský,esparver menut de clatell blanc,semicollared hawk,torquehauk,Полубеловрат ястреб,halsbandshök,Halsbånds Spurvehøg,Halkalı Atmaca,jastrabík krahuliak,Andski kobac,Яструб венесуельський,半领鹰,pilvimetsähaukka,Gavilancito torcaz,Gavilancito Torcaz,Azor Collarejo (de Collar),Semicollared hawk,andski kobac,Amerikinis vanagas,Semicollared Hawk,Semicollared Hawk,andi raudkull
Astur cooperii,Cooper's Hawk,Aves,Rundschwanzhabicht,Gavilán de Cooper,krogulec czarnołbisty,Épervier de Cooper,Coopersperwer,Куперов ястреб,クーパーハイタカ,jestřáb americký,astor de Cooper,cooper's hawk,trostehauk,Американски среден ястреб,trastduvhök,Gråkronet Duehøg,Cooper Atmacası,jastrab čiapočkatý,Kuperov kobac,Яструб чорноголовий,库氏鹰,kyyhkyhaukka,Gavilán de Cooper,Gavilán de Cooper,Gavilán de Cooper,Cooper's hawk,crnokapi jastreb,Kuperio vanagas,Cooper's Hawk,Cooper's Hawk,põhja-tanukull
Tachyspiza erythrauchen,Rufous-necked Sparrowhawk,Aves,Rotnackensperber,Gavilán Moluqueño,krogulec rdzawy,Épervier à gorge grise,Molukse sperwer,Красношейный перепелятник,モルッカツミ,krahujec molucký,esparver de les Moluques,rufous-necked sparrowhawk,rustkragehauk,Ръждивоврат малък ястреб,moluckhök,Molukspurvehøg,Kızıl Enseli Atmaca,jastrab hrdzavokrký,Azijski riđovrati kobac,Яструб рудошиїй,红颈雀鹰,molukkienlintuhaukka,Gavilán moluqueño,Gavilán Moluqueño,Gavilán Moluqueño,Rufous-necked sparrowhawk,molučki kobac,Rudakaklis vanagas,Rufous-necked Sparrowhawk,Rufous-necked Sparrowhawk,punakael-raudkull
Accipiter erythronemius,Rufous-thighed Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachyspiza fasciata,Brown Goshawk,Aves,Bänderhabicht,Azor Australiano,krogulec brunatny,Autour australien,Bruine havik,Бурый ястреб,アカハラオオタカ,jestřáb australský,astor australià,açor-australiano,bendelhauk,Кафяв ястреб,brunhök,Australsk Duehøg,Kahverengi Çakır,jastrab pásikavý,Smeđi jastreb,Яструб бурий,褐鹰,australiankanahaukka,Azor australiano,Azor Australiano,Azor Australiano,Açor-australiano,australski jastreb,Australinis vanagas,Brown Goshawk,Brown Goshawk,vööt-tuvikull
